,rewardruntimes,rewardmaxmems,reward_gpuruntimes,reward_gpumaxmems,gval_gpuruntimes,gval_gpumaxmems,gval_jitruntimes,gval_jitmaxmems,gvalruntimes,gvalmaxmems,patchruntimes,patchmaxmems,patch_gpuruntimes,patch_gpumaxmems,subpx_gpuruntimes,subpx_gpumaxmems,subpxruntimes,subpxmaxmems
0,,,0.10697497100045439,35219042,2.2346488809998846,7075591,,,,,,,4.026230054001644,13350314,6.255625533001876,12072626,,
1,,,0.10624823800026206,35214280,0.03416044400000828,18393,,,,,,,1.4953700350015424,10645300,0.005094696000014665,8787200,,
2,,,0.10293509199982509,35214280,0.03791781799736782,13441,,,,,,,1.5420349249980063,10705082,0.005514340999070555,8787200,,
3,,,0.09862994499781053,35214280,0.0562957779984572,13442,,,,,,,1.4995225800012122,10899594,0.005450433000078192,8787200,,
4,,,0.09888843999942765,35214280,0.0338776249991497,13495,,,,,,,1.4913351100003638,10817650,0.005758252998930402,8787200,,
5,,,0.09840921000068192,35214280,0.05236162800065358,13607,,,,,,,1.7476401649983018,10986992,0.005758564999268856,8787200,,
6,,,0.09715444399989792,35214280,0.039235557000210974,13495,,,,,,,1.4567669030002435,10741042,0.0058063259966729674,8787200,,
7,,,0.09671901700130547,35214280,0.03531739699974423,13609,,,,,,,1.5193192289989383,10606277,0.005557830998441204,8787200,,
8,,,0.09709746399676078,35214280,0.08157717200083425,13570,,,,,,,1.403138116998889,10524072,0.005257980999886058,8787200,,
9,,,0.1155011970004125,35214280,0.06789319000017713,18689,,,,,,,1.7251746950023517,11654691,0.0064829330003703944,8787200,,
10,,,0.10448105300019961,35214280,0.055036870999174425,13663,,,,,,,1.7914573260022735,12005854,0.006722988997353241,8787200,,
11,,,0.09986764999848674,35214280,0.03450809399873833,13439,,,,,,,1.7690361040004063,11862790,0.008437055999820586,8787200,,
12,,,0.09902697899815394,35214280,0.03598657600014121,13439,,,,,,,0.6063957639998989,9629086,0.004607602997566573,8787200,,
13,,,0.09983507599827135,35214280,0.051752572999248514,13207,,,,,,,1.7218817270004365,11780360,0.0077738549989589956,8787200,,
14,,,0.10383785799785983,35214280,0.053583410001010634,14370,,,,,,,1.774333335000847,11925346,0.007561860998976044,8787200,,
15,,,0.09756839900001069,35214280,0.05472019800072303,13403,,,,,,,1.4305561400033184,11059321,0.006907670001965016,8787200,,
16,,,0.0997384369984502,35214280,0.051678313000593334,13383,,,,,,,1.9845423320002737,11913836,0.008722517999558477,8787200,,
17,,,0.09722172799956752,35214280,0.03299052500005928,13383,,,,,,,1.68881423700077,11687858,0.01019547999749193,8787200,,
