,0
0,0.10697497100045439
1,0.10624823800026206
2,0.10293509199982509
3,0.09862994499781053
4,0.09888843999942765
5,0.09840921000068192
6,0.09715444399989792
7,0.09671901700130547
8,0.09709746399676078
9,0.1155011970004125
10,0.10448105300019961
11,0.09986764999848674
12,0.09902697899815394
13,0.09983507599827135
14,0.10383785799785983
15,0.09756839900001069
16,0.0997384369984502
17,0.09722172799956752
18,35219042.0
19,35214280.0
20,35214280.0
21,35214280.0
22,35214280.0
23,35214280.0
24,35214280.0
25,35214280.0
26,35214280.0
27,35214280.0
28,35214280.0
29,35214280.0
30,35214280.0
31,35214280.0
32,35214280.0
33,35214280.0
34,35214280.0
35,35214280.0
