,0
0,4.026230054001644
1,1.4953700350015424
2,1.5420349249980063
3,1.4995225800012122
4,1.4913351100003638
5,1.7476401649983018
6,1.4567669030002435
7,1.5193192289989383
8,1.403138116998889
9,1.7251746950023517
10,1.7914573260022735
11,1.7690361040004063
12,0.6063957639998989
13,1.7218817270004365
14,1.774333335000847
15,1.4305561400033184
16,1.9845423320002737
17,1.68881423700077
18,13350314.0
19,10645300.0
20,10705082.0
21,10899594.0
22,10817650.0
23,10986992.0
24,10741042.0
25,10606277.0
26,10524072.0
27,11654691.0
28,12005854.0
29,11862790.0
30,9629086.0
31,11780360.0
32,11925346.0
33,11059321.0
34,11913836.0
35,11687858.0
