,0
0,6.255625533001876
1,0.005094696000014665
2,0.005514340999070555
3,0.005450433000078192
4,0.005758252998930402
5,0.005758564999268856
6,0.0058063259966729674
7,0.005557830998441204
8,0.005257980999886058
9,0.0064829330003703944
10,0.006722988997353241
11,0.008437055999820586
12,0.004607602997566573
13,0.0077738549989589956
14,0.007561860998976044
15,0.006907670001965016
16,0.008722517999558477
17,0.01019547999749193
18,12072626.0
19,8787200.0
20,8787200.0
21,8787200.0
22,8787200.0
23,8787200.0
24,8787200.0
25,8787200.0
26,8787200.0
27,8787200.0
28,8787200.0
29,8787200.0
30,8787200.0
31,8787200.0
32,8787200.0
33,8787200.0
34,8787200.0
35,8787200.0
